Codigo de Barras;Nome do Produto;Status;Preço Final (consumidor);Qtd.Estoque;Data de vencimento
7891000350072;BISC. COOKIE GALAK NESTLÉ PACOTE 60G;Desbloqueado;R$ 3,89;0;09/08/2024
7891000350119;BISC. COOKIE ALPINO NESTLÉ PACOTE 60G;Desbloqueado;R$ 3,89;0;15/10/2024
7891000241356;PASSATEMPO E PASSATEMPO CHOCOLATE;Desbloqueado;R$ 2,99;0;28/07/2024
7891000304877;BISC. BONO/NEGRESCO CHOCOLATE FININHO 57G;Desbloqueado;R$ 3,29;0;25/06/2024
7896058593174;AMENDOIM CROCANTE PETTIZ NATURAL 50G;Bloqueado para abastecimento;R$ 2,99;0;23/04/2024
7891035990861;CAMISINHA OLLA PLAY 3UN;Bloqueado para abastecimento;R$ 9,99;0;02/12/2026
7899250604006;PILHA AA ALFACELL 4UN;Desbloqueado;R$ 8,89;0;Não Informado
7899674017109;DESODORANTE ABOVE AERO MASC URBAN;Bloqueado para abastecimento;R$ 14,99;0;21/08/2025
7899674017093;DESODORANTE ABOVE AERO FEM FRESH;Desbloqueado;R$ 14,89;0;21/05/2025
7891150059887;SABONETE LUX LAVANDA 85G;Desbloqueado;R$ 2,89;0;20/01/2025
Não Informado;BATATA ONDA RUFFLES 167g (TODOS SABORES);Desbloqueado;R$ 23,99;1;27/09/2024
7891000248768;CHOCOLATE KITKAT (SABORES) 41,5G;Desbloqueado;R$ 4,99;1;Não Informado
7622300807399;CHOC. BIS TODOS SABORES;Desbloqueado;R$ 8,99;0;Não Informado
7891008123975;CHOCOLATE GAROTO (TODOS OS SABORES);Bloqueado para abastecimento;R$ 8,99;2;Não Informado
7622210528216;CHOCOLATE LACTA RECHEADOS OURO BRANCO;Desbloqueado;R$ 9,99;0;Não Informado
7891000115763;PETISCOS PARA GATOS AO MOLHO PURINA FRISKIES 85G;Desbloqueado;R$ 4,99;0;20/05/2025
7896029056400;PETISCOS PARA CÃO FRANGO CHAMP 85G;Desbloqueado;R$ 4,99;0;27/08/2025
7896098900253;DETERGENTE CLEAR YPE 500ML;Desbloqueado;R$ 3,99;0;21/10/2026
7893218003603;SMIRNOFF ICE ORIG 275ML;Desbloqueado;R$ 9,89;0;03/01/2025
7891098000071;CHA LEÃO ERVA DOCE 15UN.;Desbloqueado;R$ 2,99;0;20/07/2024
7896048200051;VINAGRE ÁLCOOL CASTELO 750ML;Desbloqueado;R$ 4,89;0;08/06/2025
7891098010483;CHA LEÃO HORTELÃ CX 15 G;Desbloqueado;R$ 1,99;0;10/09/2024
7896089012637;CAFÉ PILÃO TRAD 250G;Desbloqueado;R$ 13,39;0;05/08/2024
7622210782915;BISC. CLUB SOCIAL CROSTINI TOMATE SECO 80G;Desbloqueado;R$ 7,89;0;18/06/2024
7898080641588;MISTURA PARA BOLO SABOR ITALAC (SABORES);Bloqueado para abastecimento;R$ 6,29;0;31/05/2024
7892840818005;BATATA LAYS SALT & VINEGAR 80G;Desbloqueado;R$ 10,99;0;05/04/2024
07896527702663;ÁGUA SANITARIA TRIEX 2L;Desbloqueado;R$ 7,59;0;09/06/2024
7891150049888;CREME DENTAL CLOSE UP 70G;Desbloqueado;R$ 6,99;0;21/08/2026
Não Informado;CUP NOODLES SABORES;Desbloqueado;R$ 8,69;5;06/08/2024
7896110100043;SAL REFINADO LEBRE MAR 1KG;Desbloqueado;R$ 3,99;1;21/11/2024
7898080640222;CREME DE LEITE ITALAC 200G;Bloqueado para abastecimento;R$ 5,29;7;25/07/2024
7896086420336;ARROZ EMPORIO SÃO JOÃO 1KG;Desbloqueado;R$ 9,99;0;14/11/2024
7622210571724;TANG SABORES 18G;Desbloqueado;R$ 1,99;18;11/08/2024
7898215152002;LEITE CONDENSADO SEMIDESNATADO PIRACANJUBA 395G;Bloqueado para abastecimento;R$ 8,90;0;05/08/2024
7896061920202;PAPEL TOAL KITCHEN 2 ROLOS;Desbloqueado;R$ 10,89;0;Não Informado
7891150027794;MOSTARDA HELLMANNS 170G;Desbloqueado;R$ 9,89;0;21/10/2024
7894321722016;TODDYNHO CHOCOLATE 200ML;Desbloqueado;R$ 3,49;0;27/06/2024
7898024395232;CREME DE AVELA NUTELLA 140G;Desbloqueado;R$ 14,99;0;24/06/2024
7892840816780;BATATA LAYS LISA 70G (SABORES);Desbloqueado;R$ 4,99;0;19/04/2024
7908324403268;LAVA ROUPAS EM PÓ MINUANO 800G;Desbloqueado;R$ 7,59;0;21/10/2025
7891022101003;LA DE AÇO BOMBRIL ECO 8U;Desbloqueado;R$ 4,99;0;14/08/2026
7896061934285;GUARDANAPO DE PAPEL C/50 UNIDS.;Desbloqueado;R$ 4,89;0;Não Informado
7896007912124;FOSFORO LUX;Desbloqueado;R$ 0,99;0;Não Informado
7896007540617;ABSORVENTE;Desbloqueado;R$ 6,49;0;09/01/2025
7891000352175;ACHOC. PÓ NESCAU 370G;Desbloqueado;R$ 13,99;0;20/04/2024
7896102503708;KETCHUP HEINZ TRAD 397G;Desbloqueado;R$ 7,99;0;21/10/2024
7891035210006;LIMPADOR GOLD M VEJA 500ML;Desbloqueado;R$ 7,99;0;27/10/2025
7896527700577;DESINFETANTE TRIEX 500ML;Desbloqueado;R$ 3,99;0;01/12/2025
7896102502145;MOLHO DE TOMATE TRADICIONAL HEMMER 300G;Desbloqueado;R$ 3,29;0;21/03/2025
7896022203603;MACARRÃO GALO ESPAGUETE 500G;Desbloqueado;R$ 5,29;1;12/07/2024
7891048050668;GELATINA DR OETKER MORANGO 20G;Desbloqueado;R$ 2,49;0;20/04/2024
7891048050682;GELATINA DR OETKER UVA  20G;Desbloqueado;R$ 2,49;0;20/04/2024
7891048050606;GELATINA DR OETKER ABACAXI 20G;Desbloqueado;R$ 2,49;0;20/04/2024
7894000010014;AMIDO D MILHO MAIZENA 200G;Desbloqueado;R$ 7,89;0;25/12/2025
7891172421174;PAPEL HIGIENICO NEVE NEUTRO 4UN;Desbloqueado;R$ 14,99;0;Não Informado
Não Informado;REFRIGERANTE COCA COLA ORIGINAL/ZERO 2,25L/2L;Desbloqueado;R$ 12,99;0;08/04/2024
7894900010015;REFRIGERANTE COCA COLA ORG/ZERO 350 ML;Desbloqueado;R$ 4,99;0;02/07/2024
7898938890014;ENERGÉTICO MONSTER (SABORES) 473ML;Desbloqueado;R$ 11,49;9;17/10/2025
7898367980010;CERVEJA EISENBAHN 355ML LONG NECK;Desbloqueado;R$ 5,79;0;16/10/2024
7898367984018;CERVEJA EISENBAHN 350ML LATA (TODOS ESTILOS);Desbloqueado;R$ 4,99;0;15/11/2024
78934115;CERVEJA SOL MEXICAN  330ML LONG NECK;Desbloqueado;R$ 6,99;0;25/09/2024
7894900583700;SUCO KAPO MORANGO 200ML;Desbloqueado;R$ 1,29;0;06/07/2024
7894900531008;ÁGUA CRYSTAL C/GÁS 500ML;Desbloqueado;R$ 3,99;0;12/05/2024
7894900550030;SUCO DEL VALLE UVA 1LT PET;Bloqueado para abastecimento;R$ 5,99;0;25/07/2024
78933606;BALA MENTOS FRUIT;Desbloqueado;R$ 3,89;0;21/10/2025
7896262304450;BALA MENTOS MENTA;Desbloqueado;R$ 3,89;0;21/10/2025
7895144859941;CHICLETE PURE FRESH;Desbloqueado;R$ 2,89;0;21/05/2025
7895144899930;CHICLETE PURE FRUIT;Desbloqueado;R$ 2,89;0;17/01/2025
7896045505340;CERVEJA AMSTEL 473ML LATA;Desbloqueado;R$ 4,89;0;17/10/2024
7891149108718;CERVEJA HEINEKEN 330ML LONG NECK;Desbloqueado;R$ 7,99;0;03/09/2024
7896045523412;CERVEJA HEINEKEN 350ML LATA;Desbloqueado;R$ 6,49;14;20/10/2024
7896045504831;CERVEJA AMSTEL 350 ML LATA;Desbloqueado;R$ 4,99;0;18/12/2024
7898921567367;BATATA CONGELADA BEM BRASIL CORTE ESPECIAL 1,05KG;Desbloqueado;R$ 23,99;0;27/12/2025
7894904684359;CHIKENITOS SEARA 300GR TRADICIONAL;Bloqueado para abastecimento;R$ 12,90;0;Não Informado
7894904003495;STEAK DE FRANGO EMPANADO SADIA 100G;Desbloqueado;R$ 2,59;0;01/05/2024
7892840816438;FANDANGOS PRESUNTO 45G;Desbloqueado;R$ 3,99;0;05/04/2024
7894904575800;PENNE AO MOLHO PARISIENSE SEARA 350 GR;Desbloqueado;R$ 9,99;0;23/04/2024
7894904575824;FETTUCINE SEARA 350 G  BOLONHESA;Desbloqueado;R$ 15,99;0;25/04/2024
7894904082704;LASANHA SEARA 600GR (SABORES);Desbloqueado;R$ 19,99;1;20/06/2024
7908228801641;BALA FINI SUPER GIGANTE (SABORES);Desbloqueado;R$ 2,69;0;21/09/2025
7898215151708;LEITE PIRACANJUBA 1LT;Desbloqueado;R$ 6,49;0;25/05/2024
7891167011779;ATUM NAT GOMES DA COSTA 170G;Desbloqueado;R$ 9,59;0;21/09/2024
7896009301049;SARDINHA EM ÓLEO COQUEIRO 125G;Desbloqueado;R$ 6,99;0;21/04/2024
7898591453434;BALA FINI (TODOS SABORES);Desbloqueado;R$ 7,49;2;21/04/2025
7898591457876;BALA FINI TUBES 17G;Desbloqueado;R$ 1,59;0;21/06/2025
7898299990309;PÃO DE QUEIJO MAQUI 1KG;Desbloqueado;R$ 17,99;0;06/09/2024
